epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67372,1.79234,1.12693,1.12591,0.88147,0.82952,0.81772,0.33421,2.39006,1.10616,1.60013,4e-05,4e-05,4e-05
2,14.8765,1.58939,0.75034,1.11862,0.79546,0.88889,0.81845,0.42627,1.99504,0.90517,1.38507,9.802e-05,9.802e-05,9.802e-05
3,22.9413,1.42465,0.62875,1.0734,0.97712,1,0.995,0.58909,1.50715,0.76417,1.19794,0.000153664,0.000153664,0.000153664
4,30.8632,1.25716,0.87074,1.09796,0.98708,1,0.995,0.69337,1.08422,0.59626,1.06922,0.000206932,0.000206932,0.000206932
5,39.217,0.84237,0.51111,0.69919,0.99251,1,0.995,0.76022,0.98677,0.51476,1.04141,0.000257824,0.000257824,0.000257824
6,46.117,1.4222,1.4693,1.12984,0.99324,1,0.995,0.75509,0.97439,0.48398,1.02167,0.00030634,0.00030634,0.00030634
7,54.8925,1.2435,0.57288,0.96488,0.99315,1,0.995,0.75237,0.96586,0.46494,1.0038,0.00035248,0.00035248,0.00035248
8,62.2357,1.33373,0.62188,1.03695,0.99308,1,0.995,0.74945,0.95978,0.46069,0.99883,0.000396244,0.000396244,0.000396244
9,70.0215,1.22104,0.58694,0.96676,0.99302,1,0.995,0.79555,0.94991,0.43724,0.98911,0.000437632,0.000437632,0.000437632
10,77.1039,1.13168,0.54583,0.98108,0.99314,1,0.995,0.78089,0.93005,0.43146,0.97532,0.000476644,0.000476644,0.000476644
11,84.2323,0.94775,0.48143,0.98011,0.99319,1,0.995,0.78588,0.87867,0.43152,0.94726,0.00051328,0.00051328,0.00051328
12,92.3985,1.04236,0.64007,1.04976,0.99321,1,0.995,0.80797,0.86586,0.4249,0.93591,0.00054754,0.00054754,0.00054754
13,99.1009,1.04784,0.58537,0.97624,0.99339,1,0.995,0.81766,0.86517,0.4244,0.92652,0.000579424,0.000579424,0.000579424
14,105.635,0.93786,0.51853,0.92084,0.99334,1,0.995,0.80997,0.84023,0.42031,0.92249,0.000608932,0.000608932,0.000608932
15,112.318,1.00234,0.62256,0.98657,0.99318,1,0.995,0.81877,0.77868,0.4176,0.91907,0.000636064,0.000636064,0.000636064
16,118.934,1.04893,0.55062,0.93072,0.99287,1,0.995,0.82052,0.76754,0.42486,0.91911,0.00066082,0.00066082,0.00066082
17,125.448,1.09017,0.65005,1.04719,0.9924,1,0.995,0.77637,0.75733,0.45176,0.91978,0.0006832,0.0006832,0.0006832
18,132.033,1.06796,0.57427,1.00923,0.99228,1,0.995,0.77613,0.76915,0.46279,0.92516,0.000703204,0.000703204,0.000703204
19,138.614,1.09089,0.54682,1.01497,0.99236,1,0.995,0.76879,0.76943,0.45872,0.9233,0.000720832,0.000720832,0.000720832
20,145.159,1.04827,0.69592,1.00211,0.99254,1,0.995,0.7735,0.76117,0.4415,0.91834,0.000736084,0.000736084,0.000736084
21,151.767,0.89907,0.49351,0.98096,0.99294,1,0.995,0.77286,0.75558,0.42712,0.91683,0.00074896,0.00074896,0.00074896
22,158.433,0.89816,0.53306,0.88341,0.9935,1,0.995,0.78016,0.75225,0.39754,0.90925,0.00075946,0.00075946,0.00075946
23,164.961,0.89275,0.55245,0.91701,0.99371,1,0.995,0.78063,0.76121,0.38637,0.90464,0.000767584,0.000767584,0.000767584
24,171.508,1.06339,0.54543,0.95263,0.99399,1,0.995,0.77359,0.76528,0.39181,0.90168,0.000773332,0.000773332,0.000773332
25,178.136,1.11438,0.77222,1.00527,0.99403,1,0.995,0.7831,0.75584,0.41659,0.89808,0.000776704,0.000776704,0.000776704
